onset	duration	run_number	trial_number	spatial_frequency	michelson_contrast	probe_orientation	response_correctness	probe_time	reaction_time
591056.4477	1.600216017	9	1	7	13	3	n/a	591056.8477	n/a
591058.0479	1.60024335	9	2	7	13	3	n/a	591058.448	n/a
591059.6482	1.600098505	9	3	7	13	3	n/a	591060.0482	n/a
591061.2483	1.600219561	9	4	7	13	3	n/a	591061.6484	n/a
591062.8485	1.60022058	9	5	7	13	3	n/a	591063.2486	n/a
591064.4488	1.600248996	9	6	7	13	3	n/a	591064.8489	n/a
591066.049	1.60022165	9	7	7	13	3	n/a	591066.4491	n/a
591067.6493	1.600235952	9	8	7	13	3	n/a	591068.0493	n/a
591069.2495	1.600219258	9	9	7	13	3	n/a	591069.6496	n/a
591070.8499	1.600134325	9	10	7	13	3	n/a	591071.2498	n/a
591072.45	1.600225676	9	11	4	12	1	1	591072.8501	0.4032878146
591074.0503	1.600237704	9	12	4	11	1	1	591074.4503	0.5009759821
591075.6505	1.600251094	9	13	4	10	1	1	591076.0506	0.5033571537
591077.2508	1.600260497	9	14	4	9	1	1	591077.6508	0.4021909857
591078.8511	1.600268569	9	15	4	8	2	1	591079.2512	0.4019238681
591080.4513	1.600251687	9	16	4	7	1	1	591080.8514	0.5034014723
591082.0516	1.600225231	9	17	4	6	1	1	591082.4515	0.5032044869
591083.6517	1.600239183	9	18	4	5	2	1	591084.0518	0.4035424649
591085.252	1.600236333	9	19	4	4	1	0	591085.652	0.3027697974
591086.8522	1.600219211	9	20	4	3	1	1	591087.2523	0.2028374649
591088.4525	1.600236344	9	21	4	2	1	0	591088.8525	0.2029354232
591090.0527	1.6002425	9	22	4	1	2	0	591090.4528	0.3031259581
591091.653	1.600220952	9	23	4	1	2	1	591092.053	0.4032810907
591093.2532	1.600230885	9	24	4	2	2	0	591093.6533	0.3029068428
591094.8535	1.600225615	9	25	4	3	1	1	591095.2535	0.4026004189
591096.4538	1.60015793	9	26	4	4	1	1	591096.8537	0.4025161274
591098.0539	1.600228126	9	27	4	5	1	0	591098.454	0.3031169495
591099.6542	1.600249076	9	28	4	6	2	1	591100.0542	0.5021865102
591101.2544	1.600220733	9	29	4	7	2	1	591101.6545	0.6031665819
591102.8548	1.60011883	9	30	4	8	1	1	591103.2548	0.5028892638
591104.4549	1.600280149	9	31	4	9	2	1	591104.855	0.5026620581
591106.0552	1.600281734	9	32	4	10	2	1	591106.4553	0.5014910459
591107.6555	1.600273164	9	33	4	11	1	1	591108.0555	0.5010928577
591109.2558	1.600233028	9	34	4	12	1	1	591109.6558	0.4010172919
591110.8559	1.60024227	9	35	7	13	3	n/a	591111.2559	n/a
591112.4561	1.600224369	9	36	7	13	3	n/a	591112.8562	n/a
591114.0564	1.600232413	9	37	7	13	3	n/a	591114.4565	n/a
591115.6566	1.600235969	9	38	7	13	3	n/a	591116.0567	n/a
591117.2569	1.600227596	9	39	7	13	3	n/a	591117.6569	n/a
591118.8571	1.600232148	9	40	7	13	3	n/a	591119.2572	n/a
591120.4574	1.600264421	9	41	7	13	3	n/a	591120.8575	n/a
591122.0577	1.600265697	9	42	7	13	3	n/a	591122.4577	n/a
591123.658	1.600222172	9	43	7	13	3	n/a	591124.058	n/a
591125.2582	1.600139478	9	44	7	13	3	n/a	591125.6583	n/a
591126.8585	1.600100936	9	45	1	12	1	1	591127.2585	0.4012855245
591128.4587	1.600086684	9	46	1	11	2	1	591128.8586	0.4032620913
591130.0588	1.600259366	9	47	1	10	1	1	591130.4589	0.4030903347
591131.6591	1.600252201	9	48	1	9	1	1	591132.0592	0.5021705184
591133.2593	1.600232689	9	49	1	8	1	0	591133.6594	0.5028745427
591134.8596	1.600330037	9	50	1	7	1	1	591135.2597	0.2024868312
591136.4598	1.60024337	9	51	1	6	1	1	591136.8599	0.1027274777
591138.0601	1.600228002	9	52	1	5	1	0	591138.4601	0.1030078906
591139.6603	1.600238967	9	53	1	4	2	0	591140.0604	0.1024556386
591141.2606	1.600239055	9	54	1	3	1	0	591141.6606	0.002479466726
591142.8608	1.600231915	9	55	1	2	1	1	591143.2608	0.1025706145
591144.461	1.600236687	9	56	1	1	2	1	591144.8611	0.2024778667
591146.0613	1.600249429	9	57	6	1	1	1	591146.4613	0.1032234188
591147.6615	1.600237367	9	58	6	2	1	0	591148.0616	0.1026057298
591149.2618	1.600178557	9	59	6	3	1	1	591149.6618	0.1023212754
591150.862	1.600219436	9	60	6	4	2	1	591151.2621	0.102656671
591152.4623	1.600239067	9	61	6	5	1	1	591152.8623	0.3026870949
591154.0625	1.600253274	9	62	6	6	1	0	591154.4626	0.3025694949
591155.6628	1.600228435	9	63	6	7	1	1	591156.0628	0.3024315797
591157.263	1.600245076	9	64	6	8	2	1	591157.6631	0.3028704146
591158.8633	1.600231415	9	65	6	9	1	1	591159.2633	0.4026949711
591160.4635	1.600229956	9	66	6	10	2	0	591160.8636	0.502872349
591162.0637	1.600271516	9	67	6	11	2	1	591162.4638	0.5024701227
591163.664	1.600258873	9	68	6	12	1	1	591164.0641	0.5017719152
591165.2643	1.600252316	9	69	7	13	3	n/a	591165.6644	n/a
591166.8646	1.600125923	9	70	7	13	3	n/a	591167.2646	n/a
591168.4648	1.600118466	9	71	7	13	3	n/a	591168.8648	n/a
591170.065	1.600234659	9	72	7	13	3	n/a	591170.465	n/a
591171.6652	1.600241074	9	73	7	13	3	n/a	591172.0653	n/a
591173.2655	1.600240526	9	74	7	13	3	n/a	591173.6655	n/a
591174.8657	1.600241346	9	75	7	13	3	n/a	591175.2658	n/a
591176.4659	1.600249988	9	76	7	13	3	n/a	591176.866	n/a
591178.0662	1.600263312	9	77	7	13	3	n/a	591178.4663	n/a
591179.6665	1.600252105	9	78	7	13	3	n/a	591180.0666	n/a
591181.2668	1.600087077	9	79	2	12	1	1	591181.6668	0.4010457637
591182.867	1.600113892	9	80	2	11	2	1	591183.2671	0.3028846614
591184.4671	1.600232187	9	81	2	10	1	1	591184.8672	0.3032713893
591186.0674	1.600222775	9	82	2	9	1	1	591186.4675	0.4028281956
591187.6676	1.600249301	9	83	2	8	1	1	591188.0677	0.5024776913
591189.2679	1.600243887	9	84	2	7	1	1	591189.668	0.502604858
591190.8682	1.600149574	9	85	2	6	1	1	591191.2682	0.4029096906
591192.4684	1.600221351	9	86	2	5	1	1	591192.8685	0.5028477472
591194.0687	1.60022462	9	87	2	4	2	1	591194.4687	0.4027219617
591195.6689	1.600237915	9	88	2	3	1	0	591196.069	0.3028854367
591197.2691	1.600248754	9	89	2	2	2	0	591197.6692	0.4034928146
591198.8694	1.600246815	9	90	2	1	2	1	591199.2694	0.3028864232
