onset	duration	run_number	trial_number	spatial_frequency	michelson_contrast	probe_orientation	response_correctness	probe_time	reaction_time
591449.2076	1.600367396	10	1	7	13	3	n/a	591449.6078	n/a
591450.808	1.600253433	10	2	7	13	3	n/a	591451.208	n/a
591452.4082	1.600225045	10	3	7	13	3	n/a	591452.8084	n/a
591454.0085	1.6002466	10	4	7	13	3	n/a	591454.4085	n/a
591455.6087	1.600346292	10	5	7	13	3	n/a	591456.0088	n/a
591457.209	1.600230956	10	6	7	13	3	n/a	591457.609	n/a
591458.8092	1.600254912	10	7	7	13	3	n/a	591459.2093	n/a
591460.4095	1.600272201	10	8	7	13	3	n/a	591460.8096	n/a
591462.0098	1.600266823	10	9	7	13	3	n/a	591462.4098	n/a
591463.6101	1.600225056	10	10	7	13	3	n/a	591464.0101	n/a
591465.2103	1.600092729	10	11	4	12	1	1	591465.6102	0.40328626
591466.8104	1.600239522	10	12	4	11	2	1	591467.2105	0.4036324935
591468.4107	1.6002339	10	13	4	10	1	1	591468.8107	0.4033147376
591470.011	1.600113475	10	14	4	9	1	1	591470.411	0.4027253705
591471.6112	1.600234645	10	15	4	8	1	1	591472.0112	0.5028126595
591473.2114	1.600268289	10	16	4	7	1	1	591473.6115	0.4048718705
591474.8117	1.600217645	10	17	4	6	2	1	591475.2117	0.4034541484
591476.4119	1.600220278	10	18	4	5	2	1	591476.812	0.6033262485
591478.0122	1.600221144	10	19	4	4	2	0	591478.4122	0.4014126817
591479.6124	1.600245789	10	20	4	3	1	1	591480.0125	0.3022867374
591481.2126	1.600260424	10	21	4	2	2	1	591481.6127	0.3023801367
591482.8129	1.600275601	10	22	4	1	2	0	591483.213	0.3014226244
591484.4132	1.600253345	10	23	4	1	1	0	591484.8133	0.1034689563
591486.0135	1.600088563	10	24	4	2	1	1	591486.4136	0.103063434
591487.6136	1.600236167	10	25	4	3	1	0	591488.0137	0.10328546
591489.2138	1.600235078	10	26	4	4	2	0	591489.6139	0.20331286
591490.8141	1.600237556	10	27	4	5	2	0	591491.2142	0.4031469487
591492.4144	1.600226534	10	28	4	6	1	1	591492.8144	0.5026255042
591494.0146	1.600220722	10	29	4	7	1	1	591494.4147	0.5027627595
591495.6148	1.600218044	10	30	4	8	1	1	591496.015	0.6024265027
591497.2152	1.600125753	10	31	4	9	1	1	591497.6151	0.5026432818
591498.8153	1.600253635	10	32	4	10	2	1	591499.2154	0.5024397927
591500.4156	1.600238178	10	33	4	11	2	1	591500.8156	0.4029038149
591502.0158	1.600236889	10	34	4	12	1	1	591502.4159	0.4028634927
591503.6161	1.600264135	10	35	7	13	3	n/a	591504.0161	n/a
591505.2164	1.60026019	10	36	7	13	3	n/a	591505.6165	n/a
591506.8167	1.600243767	10	37	7	13	3	n/a	591507.2167	n/a
591508.4169	1.600235455	10	38	7	13	3	n/a	591508.8168	n/a
591510.017	1.600245545	10	39	7	13	3	n/a	591510.4171	n/a
591511.6173	1.600229522	10	40	7	13	3	n/a	591512.0173	n/a
591513.2175	1.600235667	10	41	7	13	3	n/a	591513.6176	n/a
591514.8178	1.600226277	10	42	7	13	3	n/a	591515.2178	n/a
591516.418	1.6002228	10	43	7	13	3	n/a	591516.8181	n/a
591518.0183	1.600249556	10	44	7	13	3	n/a	591518.4183	n/a
591519.6185	1.600227856	10	45	1	12	2	1	591520.0186	0.4027481033
591521.2188	1.600229356	10	46	1	11	1	1	591521.6188	0.4025100153
591522.8191	1.600143442	10	47	1	10	2	1	591523.2191	0.6028378485
591524.4193	1.600226733	10	48	1	9	1	1	591524.8193	0.6028322484
591526.0195	1.600246678	10	49	1	8	1	1	591526.4196	0.5025616483
591527.6197	1.600270779	10	50	1	7	1	1	591528.0198	0.402520405
591529.2199	1.600279323	10	51	1	6	1	1	591529.6202	0.302612334
591530.8202	1.600267246	10	52	1	5	2	1	591531.2203	0.1024097921
591532.4205	1.600260579	10	53	1	4	2	0	591532.8206	0.2026881248
591534.0208	1.600260823	10	54	1	3	2	1	591534.4209	0.2009595125
591535.6211	1.600111496	10	55	1	2	1	1	591536.0211	0.4010552563
591537.2212	1.600222133	10	56	1	1	1	0	591537.6213	0.3029332263
591538.8213	1.600373304	10	57	6	1	2	0	591539.2215	0.2029578484
591540.4217	1.600242155	10	58	6	2	2	1	591540.8218	0.002753481618
591542.0219	1.600233477	10	59	6	3	2	0	591542.422	0.1029870266
591543.6222	1.600221522	10	60	6	4	1	0	591544.0223	0.1030742372
591545.2224	1.6002386	10	61	6	5	2	0	591545.6225	0.102851126
591546.8227	1.600260024	10	62	6	6	2	1	591547.2228	0.002247458557
591548.423	1.60025869	10	63	6	7	2	0	591548.8231	0.00147351285
591550.0233	1.6002329	10	64	6	8	1	n/a	591550.4233	n/a
591551.6235	1.600131874	10	65	6	9	1	n/a	591552.0236	n/a
591553.2236	1.600343393	10	66	6	10	1	n/a	591553.6237	n/a
591554.8239	1.6002225	10	67	6	11	2	1	591555.2239	0.6032189045
591556.4241	1.600221178	10	68	6	12	2	1	591556.8242	0.5032344487
591558.0244	1.600232856	10	69	7	13	3	n/a	591558.4245	n/a
591559.6246	1.600214889	10	70	7	13	3	n/a	591560.0246	n/a
591561.2249	1.600229744	10	71	7	13	3	n/a	591561.6249	n/a
