onset	duration	run_number	trial_number	spatial_frequency	michelson_contrast	probe_orientation	response_correctness	probe_time	reaction_time
85330.83256	1.600132274	1	1	7	13	3	n/a	85331.23253	n/a
85332.43271	1.600242647	1	2	7	13	3	n/a	85332.83278	n/a
85334.03295	1.600223024	1	3	7	13	3	n/a	85334.43301	n/a
85335.6332	1.600242534	1	4	7	13	3	n/a	85336.03327	n/a
85337.23345	1.600263339	1	5	6	12	1	n/a	85337.63351	n/a
85338.83372	1.600286268	1	6	6	11	1	n/a	85339.23388	n/a
85340.43401	1.600259236	1	7	6	10	1	n/a	85340.83408	n/a
85342.03428	1.6002282	1	8	6	9	2	1	85342.43422	0.6034318458
85343.63439	1.600252766	1	9	6	8	2	1	85344.03446	0.5033524458
85345.23466	1.600239412	1	10	6	7	1	n/a	85345.63472	n/a
85346.83489	1.60024566	1	11	6	6	2	1	85347.23497	0.3032148394
85348.43517	1.600216206	1	12	6	5	1	0	85348.83518	0.2032047584
85350.0354	1.600227824	1	13	6	4	1	n/a	85350.43546	n/a
85351.63565	1.600198011	1	14	6	3	1	n/a	85352.03572	n/a
85353.23589	1.600247312	1	15	6	2	2	1	85353.63596	0.3034398745
85354.83612	1.600242876	1	16	6	1	2	n/a	85355.23618	n/a
85356.43648	1.600149182	1	17	2	1	1	0	85356.83643	0.302657098
85358.03664	1.600219753	1	18	2	2	1	n/a	85358.4367	n/a
85359.63686	1.600254102	1	19	2	3	1	0	85360.03693	0.3025131159
85361.2371	1.600269889	1	20	2	4	2	n/a	85361.63717	n/a
85362.83737	1.600238814	1	21	2	5	2	1	85363.23742	0.7025553216
85364.43762	1.60022193	1	22	2	6	2	1	85364.83777	0.6028170673
85366.03794	1.600152951	1	23	2	7	1	n/a	85366.43793	n/a
85367.63812	1.600303278	1	24	2	8	2	1	85368.03816	0.6029090745
85369.23835	1.600238513	1	25	2	9	2	1	85369.63841	0.5027720279
85370.8386	1.600240082	1	26	2	10	1	n/a	85371.23865	n/a
85372.43884	1.600269555	1	27	2	11	1	n/a	85372.83893	n/a
85374.03911	1.600289597	1	28	2	12	1	n/a	85374.43918	n/a
85375.63942	1.600236866	1	29	4	12	2	1	85376.03947	0.5010108196
85377.23966	1.600137915	1	30	4	11	1	n/a	85377.63972	n/a
85378.83978	1.600277668	1	31	4	10	2	1	85379.23985	0.6026853814
85380.44007	1.600286168	1	32	4	9	1	n/a	85380.84014	n/a
85382.04036	1.600271338	1	33	4	8	2	1	85382.44043	0.4011015093
85383.64065	1.600226494	1	34	4	7	1	n/a	85384.04071	n/a
85385.2408	1.600261627	1	35	4	6	2	1	85385.64086	0.5021673083
85386.84109	1.600279392	1	36	4	5	2	n/a	85387.24116	n/a
85388.44138	1.600227431	1	37	4	4	2	1	85388.84145	0.500908496
85390.04163	1.600126704	1	38	4	3	2	n/a	85390.44159	n/a
85391.64177	1.600212464	1	39	4	2	2	1	85392.04191	0.3024558335
85393.24202	1.600200552	1	40	4	1	1	n/a	85393.64208	n/a
85394.84229	1.600278488	1	41	1	1	1	0	85395.24233	0.2031121515
85396.44251	1.600245897	1	42	1	2	1	n/a	85396.84257	n/a
85398.04274	1.600232283	1	43	1	3	2	1	85398.44283	0.3025127923
85399.64301	1.600226701	1	44	1	4	1	n/a	85400.04307	n/a
85401.24324	1.600244099	1	45	1	5	2	1	85401.64329	0.4029105216
85402.84348	1.600257183	1	46	1	6	1	n/a	85403.24357	n/a
85404.44374	1.600281844	1	47	1	7	2	1	85404.84381	0.502293667
