onset	duration	run_number	trial_number	spatial_frequency	michelson_contrast	probe_orientation	response_correctness	probe_time	reaction_time
18854.79419	1.6003607	3	1	7	13	3	n/a	18855.19441	n/a
18856.39459	1.600262921	3	2	7	13	3	n/a	18856.79465	n/a
18857.99482	1.600242384	3	3	7	13	3	n/a	18858.39489	n/a
18859.59508	1.600234976	3	4	7	13	3	n/a	18859.99515	n/a
18861.19531	1.600241796	3	5	7	13	3	n/a	18861.59537	n/a
18862.79557	1.600233655	3	6	7	13	3	n/a	18863.19564	n/a
18864.39583	1.600279232	3	7	7	13	3	n/a	18864.7959	n/a
18865.99612	1.600257451	3	8	7	13	3	n/a	18866.39619	n/a
18867.59639	1.600119489	3	9	7	13	3	n/a	18867.99646	n/a
18869.19653	1.600226517	3	10	7	13	3	n/a	18869.59659	n/a
18870.79676	1.60025447	3	11	5	12	2	1	18871.19684	0.6033927553
18872.39704	1.600198879	3	12	5	11	2	1	18872.79709	0.4032281747
18873.99728	1.600219473	3	13	5	10	2	1	18874.3973	0.4030370678
18875.59753	1.600222857	3	14	5	9	2	1	18875.99756	0.3027490045
18877.19775	1.600282973	3	15	5	8	1	0	18877.59783	0.5035761045
18878.79802	1.600287429	3	16	5	7	2	1	18879.1981	0.5017190655
18880.39831	1.600275749	3	17	5	6	1	1	18880.7986	0.6014302258
18881.9986	1.600226791	3	18	5	5	1	1	18882.39866	0.6007772646
18883.59884	1.600071526	3	19	5	4	2	1	18883.9989	0.4029732653
18885.19897	1.600219112	3	20	5	3	2	0	18885.59915	0.4029545598
18886.7992	1.600214317	3	21	5	2	2	1	18887.19927	0.4029494698
18888.39947	1.600231483	3	22	5	1	1	0	18888.79953	0.2048993198
18889.99972	1.600256052	3	23	4	1	2	1	18890.39976	0.3007530059
18891.59999	1.600256132	3	24	4	2	2	1	18892.00005	0.3019123787
18893.20028	1.600253355	3	25	4	3	1	1	18893.60035	0.2009608438
18894.80055	1.6001109	3	26	4	4	1	1	18895.2006	0.2022662813
18896.40068	1.600221599	3	27	4	5	1	1	18896.80073	0.3031165913
18898.00092	1.600336341	3	28	4	6	1	0	18898.40099	0.1030186615
18899.60116	1.60024489	3	29	4	7	1	1	18900.00123	0.4012561156
18901.20139	1.600241874	3	30	4	8	1	1	18901.60147	0.4025577156
18902.80166	1.600228801	3	31	4	9	2	1	18903.20171	0.4008281101
18904.40191	1.600218696	3	32	4	10	2	1	18904.80195	0.4025984685
18906.00216	1.600216598	3	33	4	11	1	1	18906.40222	0.4023984274
18907.60241	1.600198119	3	34	4	12	2	1	18908.00246	0.5030953239
18909.20265	1.600224922	3	35	7	13	3	n/a	18909.60271	n/a
18910.80287	1.600227353	3	36	7	13	3	n/a	18911.20295	n/a
18912.40319	1.600171839	3	37	7	13	3	n/a	18912.80317	n/a
18914.00337	1.600219529	3	38	7	13	3	n/a	18914.40341	n/a
18915.60362	1.600240312	3	39	7	13	3	n/a	18916.00367	n/a
18917.20386	1.600239476	3	40	7	13	3	n/a	18917.60392	n/a
18918.8041	1.600231294	3	41	7	13	3	n/a	18919.20418	n/a
18920.40431	1.600267355	3	42	7	13	3	n/a	18920.80447	n/a
18922.00468	1.600162315	3	43	7	13	3	n/a	18922.40465	n/a
18923.60487	1.600275637	3	44	7	13	3	n/a	18924.00493	n/a
18925.20517	1.600239871	3	45	3	12	1	1	18925.60524	0.5010592556
