onset	duration	run_number	trial_number	spatial_frequency	michelson_contrast	probe_orientation	response_correctness	probe_time	reaction_time
14957.168	1.5998929	10	1	7	13	3	n/a	14957.56803	n/a
14958.76788	1.5997787	10	2	7	13	3	n/a	14959.16781	n/a
14960.36766	1.59976	10	3	7	13	3	n/a	14960.76758	n/a
14961.9674	1.59978	10	4	7	13	3	n/a	14962.36734	n/a
14963.56712	1.5998443	10	5	2	12	1	0	14963.96712	0.4017609
14965.16693	1.5998033	10	6	2	11	1	1	14965.56689	0.1012524
14966.76672	1.59980086	10	7	2	10	2	n/a	14967.16667	n/a
14968.36649	1.5997111	10	8	2	9	2	1	14968.76643	1.1025522
14969.96626	1.5997807	10	9	2	8	2	0	14970.36616	0.9013972
14971.56602	1.5997829	10	10	2	7	1	0	14971.96593	0.5010076
14973.16581	1.5997674	10	11	2	6	1	1	14973.56573	0.3010697
14974.76556	1.5997743	10	12	2	5	2	1	14975.16549	0.2028079
14976.36533	1.5997769	10	13	2	4	1	1	14976.76526	0.1029986
14977.9651	1.5997768	10	14	2	3	2	1	14978.36503	0.004783
14979.56486	1.5997876	10	15	2	2	2	0	14979.9648	0.004604299998
14981.16463	1.5997842	10	16	2	1	1	0	14981.56456	0.2012855
14982.76439	1.5997842	10	17	3	1	2	0	14983.16431	0.3006987
14984.36416	1.5997938	10	18	3	2	2	1	14984.7641	0.2005832
14985.96393	1.5997752	10	19	3	3	2	0	14986.36387	0.1005897
14987.56369	1.599786	10	20	3	4	2	1	14987.96365	0.1011412
14989.16347	1.5997786	10	21	3	5	2	0	14989.5634	0.1011382
14990.76323	1.5997725	10	22	3	6	2	1	14991.16319	0.1007481
14992.363	1.599779	10	23	3	7	2	0	14992.76294	0.1006294
14993.96277	1.5997804	10	24	3	8	2	1	14994.36271	0.200528
14995.56252	1.5997845	10	25	3	9	1	1	14995.96247	0.401023
14997.16229	1.5997807	10	26	3	10	1	0	14997.56224	0.4007383
14998.76207	1.5997713	10	27	3	11	2	1	14999.162	0.5004852
15000.36171	1.5998975	10	28	3	12	2	1	15000.76177	0.5004838
15001.9616	1.599774	10	29	5	12	1	1	15002.36154	0.5010654
15003.56137	1.5997823	10	30	5	11	2	1	15003.9613	0.4006468
15005.16111	1.5996534	10	31	5	10	2	1	15005.56106	0.4004993
15006.76089	1.5997841	10	32	5	9	2	1	15007.16081	0.4007056
15008.36065	1.599785	10	33	5	8	1	1	15008.76043	0.5007227
15009.96042	1.5997809	10	34	5	7	2	1	15010.36036	0.4006527
15011.56019	1.5997842	10	35	5	6	2	0	15011.96009	0.5005082
15013.15996	1.5997657	10	36	5	5	2	0	15013.5599	0.4004869
15014.75972	1.5997764	10	37	5	4	2	1	15015.15967	0.4005159
15016.35948	1.5997985	10	38	5	3	1	0	15016.75944	0.3010972
15017.95927	1.5997877	10	39	5	2	2	0	15018.35921	0.3006047
15019.55903	1.5997905	10	40	5	1	1	0	15019.95898	0.2005753
15021.1588	1.5997793	10	41	5	1	1	1	15021.55876	0.2005257
15022.75857	1.5997803	10	42	5	2	2	n/a	15023.15851	n/a
15024.35834	1.5997833	10	43	5	3	2	0	15024.75828	0.1005278
15025.95811	1.5997872	10	44	5	4	2	1	15026.35804	0.2005968
15027.55788	1.5997747	10	45	5	5	1	1	15027.95782	0.400579
15029.15764	1.5997867	10	46	5	6	2	1	15029.55758	0.5006401
15030.75741	1.5997752	10	47	5	7	1	1	15031.15736	0.6005315
15032.35718	1.5997772	10	48	5	8	2	1	15032.75712	0.6005671
15033.95694	1.5997813	10	49	5	9	2	1	15034.35689	0.4005781
15035.55669	1.5998135	10	50	5	10	2	1	15035.95666	0.5005242
15037.15645	1.5998087	10	51	5	11	1	1	15037.55642	0.5000797
15038.75625	1.5997701	10	52	5	12	1	1	15039.15619	0.5005826
15040.35601	1.5997695	10	53	4	12	1	1	15040.75596	0.4005587
